case_id,case_number,date_time,primary_type,description,location_description,district,ward,criminal_id,
10302617,HY491082,11/06/2015 01:27:00 AM,BATTERY,SIMPLE,ALLEY,4,7,13,
10302640,HY491054,11/06/2015 12:43:00 AM,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,10,28,110,
10302641,HY491041,11/05/2015 11:30:00 PM,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,8,14,83,
10302654,HY491097,11/06/2015 01:08:00 AM,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL,6,6,85,
10302743,HY491124,11/06/2015 03:29:00 AM,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,3,20,60,
10302816,HY491225,11/06/2015 08:10:00 AM,NARCOTICS,POSS: CRACK,SIDEWALK,11,24,7,
10302851,HY491252,11/06/2015 08:30:00 AM,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,12,2,141,
10302893,HY491303,11/04/2015 03:00:00 PM,BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER,12,27,90,
10302894,HY491178,11/06/2015 06:50:00 AM,BATTERY,AGG PO HANDS NO/MIN INJURY,CTA PLATFORM,3,6,60,
10303011,HY491094,11/06/2015 01:20:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,5,9,62,
10303035,HY491347,11/06/2015 08:54:00 AM,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,12,25,10,
10303043,HY491412,11/06/2015 10:45:00 AM,OTHER OFFENSE,OTHER VEHICLE OFFENSE,GAS STATION,5,34,151,
10303052,HY491366,11/02/2015 12:00:00 PM,THEFT,$500 AND UNDER,APARTMENT,4,7,18,
10303062,HY491373,11/06/2015 03:00:00 AM,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),4,7,18,
10303077,HY491353,11/06/2015 09:45:00 AM,THEFT,RETAIL THEFT,DEPARTMENT STORE,6,21,15,
10303099,HY491337,11/06/2015 09:25:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,6,21,12,
10303187,HY491285,11/06/2015 09:00:00 AM,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,10,24,4,
10303197,HY491490,11/06/2015 11:47:00 AM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,11,27,7,
10303214,HY491477,11/06/2015 11:15:00 AM,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",4,8,13,
10303274,HY491482,11/06/2015 10:15:00 AM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,11,27,7,
10303291,HY491492,11/06/2015 11:05:00 AM,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENCE,7,17,86,
10303306,HY491368,11/06/2015 10:07:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,3,6,60,
10303345,HY491589,11/06/2015 12:36:00 PM,NARCOTICS,POSS: COCAINE,RESIDENTIAL YARD (FRONT/BACK),11,28,7,
10303359,HY491600,11/06/2015 11:45:00 AM,NARCOTICS,POSS: HEROIN(WHITE),STREET,11,27,7,
10303371,HY491599,11/06/2015 11:30:00 AM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, BUILDING",8,14,52,
10303390,HY491532,11/06/2015 11:15:00 AM,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",1,2,113,
10303424,HY491554,11/06/2015 12:13:00 PM,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL,6,18,85,
10303425,HY491512,11/06/2015 11:30:00 AM,ROBBERY,STRONGARM - NO WEAPON,"SCHOOL, PUBLIC, BUILDING",5,9,21,
10303446,HY491540,11/06/2015 12:30:00 PM,THEFT,RETAIL THEFT,DRUG STORE,4,7,18,
10303467,HY491653,11/06/2015 11:50:00 AM,BATTERY,AGG PO HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",8,14,14,
10303486,HY491592,11/06/2015 12:15:00 PM,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,9,16,82,
10303496,HY491700,11/06/2015 02:20:00 PM,NARCOTICS,POSS: COCAINE,SIDEWALK,7,16,5,
10303497,HY491676,11/05/2015 01:00:00 PM,NARCOTICS,FOUND SUSPECT NARCOTICS,"SCHOOL, PRIVATE, BUILDING",6,21,12,
10303498,HY491680,11/06/2015 02:04:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,4,10,20,
10303514,HY491736,11/06/2015 03:05:00 PM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,9,14,19,
10303551,HY491809,11/06/2015 03:35:00 PM,NARCOTICS,POSS: CRACK,SIDEWALK,8,18,27,
